fid,DN,fid_2,DN_2,fid_3,id,objectid_1,objectid,village,vlcode,gram_panch,gram_pan_1,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,uqcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk
1,1,1,1,4171,41004,41004,107539,Udapur,540770,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,578,2405,4.16089965,315,1225,1180,Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Available,7,6,43,0,0,0,0,6,253,48,205,0,48,0,0,0,BRAHMAPURI,3,9117.822868,9117.822868,2475183.701,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4171,0.007218707,0.240623579,Low
2,1,1,1,4320,41163,41163,107698,Mulur Chak,538515,,,Armori,104,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,18,71,3.94444444,140,44,27,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,0,24,0,72,0,11,1,0,32,65,-33,65,0,0,0,0,DESAIGANJ,27,11327.14544,11327.14544,5245195.984,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4320,0.024030352,0.480607047,Low
3,1,1,1,2965,39762,39762,106297,Pardi,540953,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,318,1419,4.46226415,530,738,681,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,9,66,25,0,70,0,0,8,352,210,141,104,3,54,0,50,MUL,22,9864.038811,9864.038811,4416252.861,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2965,0.184347313,3.686946262,Low
4,1,1,1,4062,40886,40886,107421,Kudesawali,540859,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,298,1147,3.84899329,350,597,550,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,42,0,80,5,0,2,7,23,191,29,162,0,1,22,0,5,BRAHMAPURI,41,11086.60803,11086.60803,6063382.921,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4062,1.411073698,23.51789497,Moderate
5,1,1,1,3021,39817,39817,106352,Samada Bk,540917,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,804,3081,3.83208955,1140,1569,1512,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,155,65,0,12,0,60,0,109,739,510,229,263,2,238,0,7,MUL,31,16629.72898,16629.72898,13027383.56,Administrative Boundary,Survey of India (SOI),"Maharashtra
",13,3021,0.8636599,6.643537696,Low
6,1,1,1,4295,41138,41138,107673,Kharkada,540778,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,476,1966,4.1302521,659,989,977,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,0,18,111,3,0,2,0,4,522,11,511,0,6,0,0,5,BRAHMAPURI,13,9686.887399,9686.887399,5966767.422,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4295,0.774053136,12.9008856,Low
7,1,1,1,3090,39887,39887,106422,Visapur Raiyyatwari,539270,,,Chamorshi,109,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,,India,Rural,156,703,4.50641026,447,359,344,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,219,20,28,22,0,7,2,2,147,83,64,0,0,81,0,2,GADCHIROLI,32,9965.398098,9965.398098,5420736.544,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,3090,0.000410283,0.006838054,Low
8,1,1,1,3999,40825,40825,107360,Mudaza,540860,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,925,3659,3.95567568,1447,1866,1793,Available,Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,839,1,104,7,0,29,21,14,431,298,133,10,283,0,5,0,BRAHMAPURI,43,19955.47093,19955.47093,14349352.35,Administrative Boundary,Survey of India (SOI),"Maharashtra
",15,3999,0.113439206,0.756261376,Low
9,1,1,1,4158,40991,40991,107526,Paradgaon,540774,,,Brahmapuri,118,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,391,1633,4.17647059,318,848,785,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,1,10,12,0,0,1,0,1,292,50,242,0,44,0,0,6,BRAHMAPURI,5,6955.224927,6955.224927,2694881.579,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4158,0.032085295,1.069509822,Low
10,1,1,1,4069,40894,40894,107429,Chikhali,540882,,,Sawali,119,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,,India,Rural,155,601,3.87741935,384,311,290,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,110,0,0,12,0,3,61,2,195,110,85,0,1,107,0,2,MUL,30,9819.288268,9819.288268,4332143.837,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4069,0.383828836,9.595720889,Low
