fid,dn,fid_2,dn_2,fid_3,id,objectid_1,objectid,village,vlcode,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk,hospital_dist_km,name,amenity,population_density,water_availability,drainage_availability,healthcare_gap_score,river_distance_km,flood_score,population_score,water_gap_score,drainage_gap_score,service_gap_score,river_vulnerability_score,ml_cluster,ml_risk_group,vulnerability_score,vulnerability_class,flood_score_contribution,population_score_contribution,service_gap_score_contribution,river_vulnerability_score_contribution,underserved_score,welfare_priority_score,welfare_priority,priority_rank,priority_services,priority_reason
1,1,1,1,4171,41004,41004,107539,Udapur,540770,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,578,2405,4.16089965,315,1225,1180,,,,Available,Available,Available,Not Available,Not Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,,Available,7,6,43,0,0,0,0,6,253,48,205,0,48,0,0,0,BRAHMAPURI,3,9117.822868,9117.822868,2475183.701,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4171,0.007218707,0.240623579,Low,2.488309486577624,Akshay Nursing Home,hospital,801.6666666666666,0.0,0.0,14.558757755219334,0,0.6446699017049715,42.8469624086941,100.0,50.0,54.852919251739785,50.0,2,Moderate,30.04,Moderate,0.26,8.57,13.71,7.5,40.41,29.32,Moderate,105,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
2,1,1,1,4320,41163,41163,107698,Mulur Chak,538515,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,18,71,3.94444444,140,44,27,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,24,0,72,0,11,1,0,32,65,-33,65,0,0,0,0,DESAIGANJ,27,11327.14544,11327.14544,5245195.984,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4320,0.024030352,0.480607047,Low,4.396752454544,SDH Armori,hospital,14.2,0.0,0.0,25.835805762569308,0,1.2886873660930547,0.7589524318546231,100.0,50.0,58.61193525418977,50.0,4,Low,22.82,Low,0.52,0.15,14.65,7.5,29.79,21.23,Low,185,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
3,1,1,1,2965,39762,39762,106297,Pardi,540953,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,318,1419,4.46226415,530,738,681,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,9,66,25,0,70,0,0,8,352,210,141,104,3,54,0,50,MUL,22,9864.038811,9864.038811,4416252.861,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2965,0.184347313,3.686946262,Low,6.267754586412697,"Rural Hospital, Korpana",hospital,283.8,54.0,0.0,36.89161472154533,0,9.89319028632078,15.168359166221274,87.72727272727272,50.0,58.20629581627268,50.0,4,Low,29.04,Moderate,3.96,3.03,14.55,7.5,35.63,28.02,Moderate,126,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
4,1,1,1,4062,40886,40886,107421,Kudesawali,540859,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,298,1147,3.84899329,350,597,550,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,42,0,80,5,0,2,7,23,191,29,162,0,1,22,0,5,BRAHMAPURI,41,11086.60803,11086.60803,6063382.921,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4062,1.411073698,23.51789497,Moderate,13.40782304883896,Janatal Hospital,hospital,191.16666666666666,22.0,0.0,79.08249816845645,0,63.11134489410524,10.217352574380902,95.0,50.0,74.69416605615216,50.0,0,Very High,53.46,High,25.24,2.04,18.67,7.5,53.03,55.0,High,7,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness, Emergency Flood Response","Priority is influenced by high flood exposure, limited healthcare accessibility, water-service gap, drainage-service gap."
5,1,1,1,3021,39817,39817,106352,Samada Bk,540917,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,804,3081,3.83208955,1140,1569,1512,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,155,65,0,12,0,60,0,109,739,510,229,263,2,238,0,7,MUL,31,16629.72898,16629.72898,13027383.56,Administrative Boundary,Survey of India (SOI),"Maharashtra
",13,3021,0.8636599,6.643537696,Low,8.782395336673241,Dr. Mallick Hospital,hospital,237.0,238.0,0.0,51.75070400947125,0,17.82747232009907,12.667022982362372,45.909090909090914,50.0,49.21993163952072,50.0,3,High,29.47,Moderate,7.13,2.53,12.3,7.5,31.98,27.63,Moderate,128,"Healthcare, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, drainage-service gap."
6,1,1,1,4295,41138,41138,107673,Kharkada,540778,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,476,1966,4.1302521,659,989,977,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,18,111,3,0,2,0,4,522,11,511,0,6,0,0,5,BRAHMAPURI,13,9686.887399,9686.887399,5966767.422,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,4295,0.774053136,12.9008856,Low,5.930208970251071,"Sub District Hospital, Chimur",hospital,327.6666666666667,0.0,0.0,34.89704732706805,0,34.619634565742444,17.51291644396936,100.0,50.0,61.63234910902268,50.0,0,Very High,40.26,Moderate,13.85,3.5,15.41,7.5,42.99,40.14,Moderate,23,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
7,1,1,1,3090,39887,39887,106422,Visapur Raiyyatwari,539270,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,156,703,4.50641026,447,359,344,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,219,20,28,22,0,7,2,2,147,83,64,0,0,81,0,2,GADCHIROLI,32,9965.398098,9965.398098,5420736.544,Administrative Boundary,Survey of India (SOI),"Maharashtra
",6,3090,0.000410283,0.006838054,Low,8.864686310457333,"General Hospital, Chamorshi",hospital,117.16666666666667,81.0,0.0,52.236963896463664,0,0.01728518109939708,6.262248352039908,81.5909090909091,50.0,61.275957662457586,50.0,1,Very Low,24.08,Low,0.01,1.25,15.32,7.5,32.52,22.89,Low,171,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
8,1,1,1,3999,40825,40825,107360,Mudaza,540860,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,925,3659,3.95567568,1447,1866,1793,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,839,1,104,7,0,29,21,14,431,298,133,10,283,0,5,0,BRAHMAPURI,43,19955.47093,19955.47093,14349352.35,Administrative Boundary,Survey of India (SOI),"Maharashtra
",15,3999,0.113439206,0.756261376,Low,16.947744068224065,Janatal Hospital,hospital,243.93333333333334,0.0,0.0,100.0,0,2.028430830464435,13.037591305897026,100.0,50.0,83.33333333333333,50.0,1,Very Low,31.75,Moderate,0.81,2.61,20.83,7.5,45.98,33.02,Moderate,59,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
9,1,1,1,4158,40991,40991,107526,Paradgaon,540774,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,391,1633,4.17647059,318,848,785,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,1,10,12,0,0,1,0,1,292,50,242,0,44,0,0,6,BRAHMAPURI,5,6955.224927,6955.224927,2694881.579,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4158,0.032085295,1.069509822,Low,3.979382350126367,Akshay Nursing Home,hospital,544.3333333333334,0.0,0.0,23.369553019703357,0,2.869061527227378,29.093176554427224,100.0,50.0,57.78985100656778,50.0,4,Low,28.91,Moderate,1.15,5.82,14.45,7.5,38.2,28.12,Moderate,124,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
10,1,1,1,4069,40894,40894,107429,Chikhali,540882,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,155,601,3.87741935,384,311,290,,,,Not Available,Not Available,Available,Not Available,Available,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,110,0,0,12,0,3,61,2,195,110,85,0,1,107,0,2,MUL,30,9819.288268,9819.288268,4332143.837,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4069,0.383828836,9.595720889,Low,6.330242556526812,Dr. Kilnake Hospital,hospital,150.25,107.0,0.0,37.26085805272522,0,25.74992443819653,8.030464991982896,75.68181818181819,50.0,54.314225411514464,50.0,3,High,32.98,Moderate,10.3,1.61,13.58,7.5,34.72,31.67,Moderate,74,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
